variable_id,output_frequency,shape,priority,dimension,file_size_MB,experiment_id
alpha,monthly,XYT,3,2,16.6,A
area,NA,NA,NA,NA,0.3,ancillary
Area_tot_native,NA,NA,NA,NA,0,ancillary
Atm_CO2,NA,NA,NA,NA,0,ancillary
chlos,monthly,XYT,1,2,18.7,A
dfeos,monthly,XYT,2,2,18.3,A
dissic,annual,XYZT,1,3,91.5,A
dissicos,monthly,XYT,1,2,14.6,A
epc100,monthly,XYT,1,2,18.2,A
epc1000,monthly,XYT,2,2,15.8,A
fgco2,monthly,XYT,1,2,19.2,A
fgco2_glob,monthly,T,1,2,0,A
fice,monthly,XYT,1,2,2.1,A
intdiac,monthly,XYT,2,2,18.8,A
intphyc,monthly,XYT,1,2,18.5,A
intphynd,monthly,XYT,2,2,18.6,A
intpp,monthly,XYT,1,2,18.6,A
intzooc,monthly,XYT,1,2,18.5,A
mask_sfc,NA,NA,NA,NA,0.3,ancillary
mask_vol,NA,NA,NA,NA,35.5,ancillary
mld,monthly,XYT,1,2,18.4,A
no3,annual,XYZT,2,3,108.1,A
no3os,monthly,XYT,2,2,18.8,A
o2,annual,XYZT,2,3,104.6,A
o2os,monthly,XYT,2,2,16.3,A
pco2atm,monthly,XYT,2,2,13.6,A
po4,annual,XYZT,2,3,108.1,A
po4os,monthly,XYT,2,2,18.6,A
si,annual,XYZT,2,3,113.1,A
sios,monthly,XYT,2,2,18.5,A
so,annual,XYZT,1,3,86.7,A
sos,monthly,XYT,1,2,14.4,A
spco2,monthly,XYT,1,2,16.3,A
talk,annual,XYZT,1,3,89,A
talkos,monthly,XYT,1,2,14.4,A
thetao,annual,XYZT,1,3,113.8,A
tos,monthly,XYT,1,2,17.9,A
Vol_tot_native,NA,NA,NA,NA,0,ancillary
volume,NA,NA,NA,NA,35.5,ancillary
